"Qty","Value","Part Num","Package","Parts"
"2","","*","B3F-10XX","PROG, RES"
"1","","*","ESP8266-ESP12E","MDL1"
"1","","*","1X02","VIN"
"1","","*","1X05","PANEL"
"1","1uF","*","C0805","C3"
"6","10K","*","R0805","R1, R2, R3, R4, R5, R7"
"1","10uF","*","C0805","C5"
"1","100uf","*","C0805","C1"
"1","100uf","*","E2,5-6E","C2"
"2","220","*","R0805","R8, R9"
"1","470","*","R0805","R6"
"1","470pF","*","C0805","C4"
"1","FTDI","*","1X06","JP6"
"1","HX711-BREAKOUT","*","HX711-THT","U3"
"1","LL","*","1X03","JP4"
"1","LR","*","1X03","JP5"
"1","MMBT3906","*","TO92D","Q1"
"1","SPX3819M5-L-3-3","*","SOT23-5L","U2"
"1","UL","*","1X03","JP2"
"1","UR","*","1X03","JP3"
